,OrderID,ProductID,Quantity
192,13311,212,4
193,15052,17,8
194,11076,258,3
195,6148,102,7
196,6757,227,4
197,5968,240,2
198,2918,207,4
199,8290,121,3
200,14271,130,6
201,9116,146,17
202,14593,90,2
203,4521,25,1
204,10257,94,2
205,12812,28,5
206,186,219,7
207,6157,154,2
208,2835,171,7
209,9325,54,3
210,694,149,4
211,2740,257,6
212,2092,71,8
213,4267,127,6
214,14689,26,7
215,12864,90,4
216,4815,93,5
217,4329,211,8
218,11515,245,5
219,8637,181,8
220,14294,139,2
221,14142,18,6
222,3703,46,2
223,9771,48,4
224,15074,10,6
225,12514,89,3
226,7633,210,8
227,14273,147,4
228,22,125,1
229,10212,82,8
230,129,89,2
231,9354,45,9
232,8186,169,1
233,13148,57,2
234,15601,199,6
235,12895,77,7
236,1573,209,2
237,3385,191,8
238,11515,93,8
239,7023,51,9
240,6784,4,9
241,2021,14,9
242,2474,83,8
243,6638,26,3
244,13021,92,4
245,6131,41,4
246,12857,74,9
247,3905,228,10
248,4416,185,6
249,11662,209,21
250,2221,90,9
251,9729,198,11
252,9866,207,9
253,6969,192,8
254,10920,116,1
255,4726,46,13
256,11945,4,6
257,8261,169,20
258,3522,78,9
259,3568,182,6
260,14991,233,4
261,6145,11,3
262,6368,234,3
263,14283,148,9
264,154,224,6
265,14510,5,4
266,10942,112,11
267,11646,155,16
268,12114,240,8
269,2793,75,6
270,15776,259,7
271,11207,211,7
272,1731,202,4
273,10908,42,25
274,13918,180,4
275,481,233,7
276,10434,259,5
277,6872,189,2
278,714,185,2
279,2879,65,5
280,11949,198,5
281,174,115,7
282,2950,37,6
283,7978,133,9
284,6441,167,4
285,11564,118,10
286,7822,140,5
287,5536,22,4
288,6628,1,4
289,6538,120,4
290,8783,66,9
291,7736,231,27
292,1449,142,4
293,13893,220,2
294,230,260,3
295,11741,243,9
296,5405,236,3
297,8760,39,3
298,7824,47,9
299,7488,72,5
300,11251,133,4
301,10554,180,9
302,1067,20,8
303,7199,187,7
304,111,79,5
305,341,82,3
306,8235,88,8
307,8265,172,8
308,7074,48,9
309,5620,87,9
310,3482,200,31
311,4097,122,3
312,3577,172,8
313,6897,156,2
314,10262,45,7
315,12315,88,6
316,15592,92,20
317,8236,22,6
318,14485,220,6
319,6000,169,2
320,13188,24,27
321,4546,155,23
322,1860,39,5
323,6671,55,3
324,7687,75,6
325,13410,50,5
326,13574,135,9
327,6494,188,6
328,8942,175,8
329,10198,211,8
330,3982,47,20
331,7849,16,9
332,13641,60,31
333,2022,233,14
334,15140,68,5
335,10856,21,6
336,6978,71,5
337,5041,181,7
338,3284,89,6
339,9562,59,8
340,3131,28,9
341,6301,197,8
342,11962,218,4
343,4674,21,3
344,14035,119,3
345,7092,45,1
346,14973,17,7
347,14254,195,3
348,14185,173,6
349,7689,120,4
350,14370,163,1
351,5736,96,1
352,3321,71,2
353,13125,214,8
354,1659,35,1
355,13063,173,9
356,1467,215,5
357,14639,47,7
358,10711,221,8
359,15666,125,22
360,827,127,2
361,2877,221,4
362,10828,96,5
363,9703,78,2
364,2263,83,9
365,1371,73,1
366,3289,231,9
367,7312,40,3
368,10962,46,8
369,3925,80,6
370,9695,125,6
371,10530,78,4
372,1307,48,9
373,8699,121,5
374,8803,26,6
375,7552,43,9
376,7531,104,7
377,15118,116,4
378,7743,34,2
379,4404,231,22
380,12394,21,5
381,13125,57,6
382,15714,128,13
383,1177,221,9
384,12883,46,9
385,5756,215,4
386,15248,27,28
387,1549,137,8
388,11340,43,4
389,286,34,3
390,522,171,7
391,12238,167,6
392,7631,167,4
393,409,211,1
394,8858,213,6
395,7375,188,3
396,10963,74,9
397,5304,101,1
398,2046,114,16
399,6668,260,6
400,14373,232,6
401,2386,160,7
402,14837,117,6
403,10485,92,6
404,12050,185,32
405,15634,149,1
406,4391,135,7
407,9116,162,9
408,3590,166,14
409,2122,126,7
410,11890,215,18
411,5003,253,1
412,2768,67,8
413,11729,164,9
414,7226,155,5
415,12516,241,4
416,9344,250,6
417,3838,97,6
418,14771,60,9
419,1884,5,6
420,7971,121,1
421,14253,239,5
422,6293,227,15
423,20,36,8
424,15643,89,8
425,2396,199,1
426,7836,121,2
427,3772,224,7
428,3593,146,9
429,454,248,5
430,1756,4,16
431,5155,166,8
432,2288,146,8
433,7826,58,26
434,13543,138,3
435,15444,183,9
436,4650,97,4
437,8701,141,27
438,4616,215,2
439,12637,174,4
440,5037,36,9
441,8655,87,6
442,4121,198,4
443,4887,247,3
444,14392,156,1
445,13867,5,3
446,15098,214,6
447,15640,191,7
448,12589,16,22
449,2577,119,5
450,10777,216,2
451,1577,53,4
452,8752,214,9
453,5108,55,3
454,5766,138,1
455,12746,41,2
456,3030,238,4
457,2161,67,1
458,2150,113,2
459,1160,218,3
460,1609,233,4
461,4811,191,1
462,10123,61,13
463,7359,95,6
464,5947,50,2
465,13641,246,9
466,12846,138,2
467,6743,30,8
468,15339,52,5
469,12470,162,18
470,10146,64,20
471,5139,78,3
472,3416,134,7
473,7673,64,6
474,2550,136,3
475,1059,79,9
476,5784,30,25
477,135,53,1
478,586,139,3
479,4502,67,6
480,6323,223,7
481,1460,259,5
482,17,94,2
483,4570,209,9
484,10448,1,12
485,11038,73,2
486,14690,252,4
487,1876,237,2
488,12260,249,4
489,154,212,7
490,15019,21,1
491,7438,178,5
492,764,2,22
493,6596,161,9
494,14130,110,2
495,1150,241,9
496,5259,219,8
497,13489,208,20
498,10834,172,4
499,11838,69,1
500,11644,106,7
501,13017,78,9
502,11302,129,1
503,5961,16,2
504,10235,177,2
505,8104,34,8
506,14411,127,18
507,1081,183,1
508,15719,76,7
509,1186,47,6
510,9961,159,9
511,7909,218,1
512,8322,201,23
513,9575,201,2
514,5430,31,4
515,1921,39,1
516,4523,52,4
517,11592,110,21
518,4077,118,12
519,13935,175,7
520,2765,60,8
521,10186,152,9
522,5720,46,9
523,5947,207,9
524,13606,136,6
525,1567,169,7
526,58,85,7
527,15104,212,9
528,2709,164,8
529,14066,44,2
530,2494,239,7
531,5660,44,2
532,14952,84,5
533,5151,238,3
534,6598,96,5
535,2897,183,4
536,8350,62,6
537,1057,46,9
538,7342,95,7
539,13678,214,6
540,7746,172,1
541,8023,186,8
542,3332,136,2
543,10139,46,3
544,5314,176,3
545,12481,55,1
546,9078,179,3
547,15255,4,4
548,12048,80,7
549,11540,79,2
550,15724,10,2
551,2855,60,8
552,12218,151,4
553,4121,63,7
554,5469,115,7
555,3074,37,9
556,5538,188,4
557,785,85,5
558,12627,2,21
559,15302,100,34
560,8833,182,5
561,9413,254,8
562,1967,164,2
563,7800,130,7
564,10799,33,6
565,5130,30,6
566,412,184,3
567,2081,114,3
568,11493,76,13
569,8536,62,2
570,2755,214,5
571,1989,86,29
572,9441,121,5
573,2157,109,3
574,1705,136,17
575,8558,94,24
576,877,47,4
577,13613,7,6
578,2525,162,5
579,11057,174,6
580,12761,234,9
581,3124,193,4
582,2878,49,5
583,1705,17,1
584,3667,122,3
585,3870,123,9
586,13886,163,3
587,8133,93,5
588,15420,253,4
589,9520,221,7
590,12577,190,1
591,11212,22,9
592,2746,11,6
593,13307,52,8
594,7449,168,16
595,901,194,2
596,15754,237,19
597,5150,137,3
598,6242,144,5
599,3036,211,7
600,9826,91,5
601,3544,128,1
602,3906,245,17
603,15572,156,4
604,6060,243,4
605,2024,224,4
606,7054,75,3
607,11319,39,9
608,2702,196,23
609,13885,176,9
610,5155,70,6
611,2450,172,8
612,2055,140,6
613,399,43,8
614,14885,77,8
615,11628,175,5
616,1038,177,19
617,14317,78,5
618,7952,88,2
619,11211,21,5
620,6950,128,7
621,12042,39,7
622,14932,235,3
623,1354,110,3
624,11646,210,6
625,1332,190,9
626,11295,187,7
627,5148,190,2
628,12346,5,7
629,99,245,3
630,6998,23,3
631,4430,187,8
632,3396,150,6
633,12475,105,2
634,10400,159,3
635,1864,22,7
636,10084,99,29
637,10363,70,5
638,113,56,9
639,6300,52,2
640,9222,87,10
641,7900,9,6
642,14979,152,9
643,14463,76,3
644,15413,170,1
645,10968,59,4
646,14297,54,22
647,10105,89,6
648,6963,128,2
649,5705,206,4
650,6923,122,7
651,13685,18,11
652,9019,36,7
653,8111,33,4
654,13673,164,5
655,13700,129,2
656,3370,190,4
657,6131,16,7
658,9841,215,3
659,13569,20,13
660,8878,10,5
661,6349,61,3
662,581,14,1
663,6152,55,5
664,3617,176,4
665,3542,188,4
666,856,60,6
667,6224,165,8
668,9829,208,8
669,4743,41,3
670,982,190,6
671,11673,227,3
672,11304,42,3
673,8336,27,2
674,10972,240,5
675,6377,139,9
676,12033,29,3
677,14842,1,5
678,769,121,3
679,1872,192,4
680,8336,156,4
681,7233,209,5
682,3955,231,1
683,9944,248,9
684,2979,195,6
685,227,117,1
686,7658,176,7
687,5346,235,1
688,7069,68,2
689,2900,217,1
690,2073,85,5
691,12155,104,3
692,9308,125,4
693,1517,119,3
694,13549,120,9
695,7073,245,18
696,11584,193,19
697,2741,138,3
698,8137,202,18
699,8361,5,9
700,642,234,5
701,14382,31,3
702,10232,101,7
703,7210,142,7
704,10745,84,9
705,5968,22,7
706,5068,207,9
707,3645,49,21
708,8007,86,17
709,14119,87,10
710,3233,58,2
711,12828,46,9
712,14880,174,5
713,3953,224,7
714,10264,127,8
715,11903,179,4
716,12364,59,7
717,7988,100,8
718,2335,2,20
719,10790,242,7
720,9102,123,1
721,6615,55,9
722,12850,176,30
723,3037,253,5
724,5590,208,3
725,13485,251,1
726,4474,39,7
727,1198,87,2
728,3304,130,3
729,12804,196,8
730,12970,26,4
731,8976,247,5
732,8015,15,7
733,14841,229,6
734,12087,24,1
735,15595,36,2
736,1567,194,2
737,9456,247,16
738,8875,182,3
739,12671,64,7
740,9079,60,7
741,9602,215,6
742,2511,115,9
743,11935,246,4
744,7511,79,1
745,863,104,2
746,1728,122,22
747,12323,12,5
748,4256,132,4
749,7871,26,6
750,12350,29,2
751,11065,67,6
752,2015,8,9
753,11207,169,30
754,12545,188,1
755,7870,222,6
756,13178,186,1
757,6879,248,12
758,2466,1,9
759,10482,62,7
760,2280,162,2
761,6456,175,2
762,3460,69,5
763,13576,174,9
764,6952,206,9
765,2490,179,9
766,6077,99,3
767,6323,236,9
768,9656,5,2
769,5378,142,6
770,9172,45,6
771,3355,171,6
772,9856,200,1
773,12294,194,8
774,141,256,2
775,11703,37,15
776,1700,146,8
777,15309,86,2
778,11789,94,2
779,6340,42,9
780,1692,148,6
781,11795,80,3
782,3462,91,7
783,200,74,5
784,3434,147,1
785,8537,133,4
786,7843,173,14
787,2451,203,23
788,6089,1,1
789,1554,77,9
790,13685,142,8
791,14089,227,8
792,11599,180,7
793,8909,148,5
794,15593,208,28
795,2052,92,7
796,12809,248,7
797,8489,242,8
798,52,63,2
799,9648,54,7
800,2021,63,21
801,15408,147,2
802,6613,141,8
803,1575,47,5
804,11370,234,4
805,2132,3,8
806,19,158,8
807,8802,218,8
808,15699,179,3
809,7460,252,9
810,4904,210,7
811,15330,113,6
812,4269,69,8
813,1425,109,4
814,2186,183,3
815,11006,27,5
816,2025,90,7
817,592,228,6
818,14014,211,1
819,7939,214,7
820,716,89,21
821,6009,247,2
822,4335,38,8
823,2254,91,6
824,4012,64,9
825,1280,134,1
826,12678,124,16
827,8125,114,9
828,6021,174,6
829,8738,66,3
830,2050,188,2
831,1616,231,15
832,14639,196,5
833,1591,119,8
834,14071,94,7
835,6327,60,4
836,6961,90,19
837,3459,97,1
838,6294,255,21
839,5881,4,9
840,14546,71,8
841,8794,49,18
842,4611,32,7
843,11754,103,8
844,5989,115,4
845,8417,255,9
846,2329,179,6
847,5553,83,9
848,6729,180,8
849,1558,180,2
850,931,180,5
851,2341,232,4
852,15239,97,4
853,12338,153,9
854,4887,22,7
855,2859,11,5
856,2205,218,8
857,13324,103,5
858,12072,209,6
859,7206,1,8
860,6007,89,7
861,994,239,8
862,15462,65,1
863,7791,200,1
864,14320,227,17
865,13092,14,8
866,15408,55,19
867,9606,75,7
868,9607,81,9
869,4337,6,9
870,9585,49,1
871,6699,239,2
872,879,105,8
873,4906,222,3
874,2357,221,20
875,12881,217,3
876,3959,41,5
877,10592,259,5
878,9919,18,7
879,4125,134,8
880,8358,199,1
881,2142,141,9
882,5936,131,8
883,350,37,3
884,1716,202,4
885,9052,126,1
886,1987,196,3
887,4781,247,2
888,8676,217,2
889,2392,218,2
890,945,252,8
891,8300,218,5
892,5871,124,4
893,11789,24,7
894,2327,28,1
895,5801,5,5
896,6874,218,5
897,10479,117,7
898,2345,75,4
899,7265,220,6
900,9702,47,3
901,2930,184,17
902,14912,103,23
903,5342,126,19
904,7020,128,6
905,12005,180,9
906,9459,159,16
907,10988,167,16
908,4498,243,9
909,10528,142,8
910,7475,61,8
911,12176,91,6
912,8837,65,8
913,11134,34,5
914,4173,26,3
915,5000,20,4
916,5280,51,3
917,7252,208,9
918,15382,60,4
919,5856,165,4
920,13029,163,8
921,13570,121,6
922,13290,259,6
923,14834,43,3
924,4835,146,4
925,5343,103,7
926,11048,34,4
927,160,103,1
928,6676,62,4
929,10988,83,7
930,8882,33,7
931,11819,112,2
932,12995,112,4
933,2384,127,6
934,11024,5,2
935,7186,42,27
936,6395,174,8
937,6839,226,5
938,8687,203,26
939,8684,104,9
940,5289,122,7
941,7439,125,4
942,5516,9,9
943,15160,99,7
944,2964,110,20
945,5776,166,4
946,12560,48,3
947,7504,198,4
948,13679,239,4
949,11147,100,4
950,11505,208,1
951,9231,225,3
952,11894,14,17
953,3862,109,3
954,14110,117,9
955,4519,253,6
956,7709,250,3
957,5847,182,9
958,14659,38,1
959,7918,160,7
960,14921,10,4
961,15330,34,1
962,11588,7,3
963,15066,74,1
964,10022,80,6
965,323,193,8
966,14463,136,1
967,11564,172,6
968,10394,161,5
969,10248,235,5
970,15762,151,9
971,4548,230,6
972,13010,87,8
973,113,99,7
974,12459,130,14
975,2366,152,2
976,15122,55,3
977,2264,128,5
978,13085,12,4
979,14477,63,3
980,2244,34,8
981,9268,223,4
982,3229,236,26
983,13284,241,2
984,9709,6,9
985,15707,91,2
986,4821,26,22
987,2793,12,1
988,1601,223,8
989,8975,216,14
990,1069,259,6
991,8574,44,1
992,409,16,8
993,8358,177,29
994,9436,143,6
995,5589,30,3
996,2476,49,5
997,9747,164,2
998,13838,191,6
999,10159,6,5
1000,11743,99,8
1001,4548,117,1
1002,9706,85,5
1003,12350,23,7
1004,12722,99,3
1005,14550,186,21
1006,348,54,8
1007,7229,37,6
1008,14070,208,9
1009,9420,109,1
1010,15111,159,3
1011,13698,236,6
1012,11283,138,9
1013,7143,86,5
1014,3087,10,7
1015,14221,198,12
1016,6541,15,4
1017,13225,169,5
1018,3738,91,3
1019,3926,106,4
1020,4729,252,6
1021,2271,10,4
1022,9932,69,8
1023,8662,2,3
1024,117,77,7
1025,6644,245,4
1026,9786,208,5
1027,3209,30,6
1028,7584,243,9
1029,5746,189,8
1030,14458,225,5
1031,8985,199,6
1032,8769,162,9
1033,1759,153,1
1034,6816,24,21
1035,12138,170,2
1036,11451,27,9
1037,5351,3,23
1038,10720,51,3
1039,15209,160,2
1040,15589,115,5
1041,8773,120,23
1042,10649,70,2
1043,1932,246,5
1044,11730,78,4
1045,14423,42,2
1046,6117,110,2
1047,8162,187,9
1048,9027,21,25
1049,6870,186,1
1050,8550,143,9
1051,10384,233,9
1052,13104,239,7
1053,13667,83,4
1054,10206,114,3
1055,12339,26,3
1056,14894,76,1
1057,5008,140,1
1058,11314,225,6
1059,7532,95,1
1060,3578,26,3
1061,2263,231,7
1062,4288,224,12
1063,3966,214,9
1064,4261,68,7
1065,14165,124,4
1066,5573,62,3
1067,14403,215,9
1068,3711,185,9
1069,3644,78,3
1070,8947,130,5
1071,12213,220,18
1072,5525,186,6
1073,6225,133,3
1074,8302,69,3
1075,12686,213,1
1076,6928,163,1
1077,9167,30,6
1078,5736,155,2
1079,5284,245,2
1080,8735,222,5
1081,9793,220,9
1082,13791,50,2
1083,10086,25,7
1084,12252,158,19
1085,8466,138,1
1086,1788,190,1
1087,1635,136,1
1088,5336,66,7
1089,5925,186,4
1090,5329,40,1
1091,5255,107,30
1092,14475,122,1
1093,4685,182,8
1094,3002,9,6
1095,2424,240,18
1096,4753,38,3
1097,11833,133,3
1098,737,22,3
1099,2419,246,7
1100,15326,43,7
1101,3158,255,2
1102,2913,11,1
1103,14020,173,8
1104,135,38,6
1105,4697,168,6
1106,12144,95,6
1107,936,160,4
1108,11923,212,5
1109,6687,210,9
1110,5564,205,7
1111,11819,207,8
1112,2262,43,8
1113,14258,120,7
1114,8701,32,7
1115,1868,22,1
1116,7291,134,9
1117,13913,165,13
1118,2443,139,9
1119,5397,179,9
1120,7661,256,9
1121,11458,206,6
1122,4347,177,5
1123,2787,243,14
1124,4144,163,8
1125,494,125,2
1126,8800,148,9
1127,307,153,4
1128,4995,56,3
1129,11796,141,7
1130,1906,136,9
1131,11328,124,8
1132,9225,239,3
1133,15200,20,9
1134,6876,80,9
1135,4391,56,7
1136,7833,188,5
1137,15758,78,9
1138,4047,66,23
1139,12828,131,18
1140,9869,196,1
1141,1448,183,2
1142,12953,72,2
1143,2268,9,7
1144,3865,123,4
1145,14957,63,5
1146,3691,216,6
1147,5330,226,7
1148,7832,9,2
1149,2749,46,9
1150,7924,194,4
1151,12176,159,1
1152,9738,224,9
1153,556,9,9
1154,7218,102,9
1155,14663,212,19
1156,12890,1,1
1157,10818,36,9
1158,7213,3,9
1159,3813,82,2
1160,8981,169,7
1161,13365,71,2
1162,13298,206,6
1163,12782,24,4
1164,2411,84,2
1165,9033,83,9
1166,6933,95,6
1167,2222,99,2
1168,4115,13,10
1169,6768,204,7
1170,15657,232,5
1171,14227,245,2
1172,4571,208,6
1173,5582,202,5
1174,9628,88,7
1175,5469,37,1
1176,488,188,5
1177,2445,82,7
1178,5082,209,3
1179,5919,232,6
1180,7470,73,7
1181,3768,247,7
1182,9721,56,5
1183,3167,202,2
1184,12378,60,3
1185,5124,225,9
1186,1150,72,1
1187,13781,107,26
1188,10056,235,1
1189,3728,67,22
1190,9063,7,8
1191,8130,6,2
1192,1630,241,6
1193,9477,185,22
1194,11420,163,3
1195,11536,207,9
1196,6716,259,20
1197,5871,102,2
1198,9798,48,6
1199,2175,178,8
1200,8183,43,3
1201,1426,93,8
1202,13650,104,9
1203,6183,45,4
1204,12932,156,8
1205,5955,100,20
1206,240,75,9
1207,5046,41,8
1208,7666,65,4
1209,7356,197,8
1210,4697,178,9
1211,12499,36,16
1212,783,18,6
1213,11908,26,9
1214,14306,127,8
1215,585,108,3
1216,13382,172,21
1217,2097,25,21
1218,14675,226,9
1219,2833,93,4
1220,9812,194,5
1221,1516,177,4
1222,11680,186,4
1223,3585,194,5
1224,5433,129,6
1225,11157,210,6
1226,13799,64,1
1227,12852,151,7
1228,13977,242,17
1229,14776,250,1
1230,11991,132,4
1231,7103,214,5
1232,3489,228,8
1233,13924,146,1
1234,7135,245,1
1235,235,228,18
1236,14733,59,1
1237,10433,25,28
1238,8677,87,6
1239,13325,59,7
1240,1536,236,1
1241,11852,260,6
1242,15595,229,7
1243,12630,204,15
1244,8638,245,8
1245,10157,239,6
1246,3250,27,8
1247,15363,153,9
1248,4603,14,22
1249,705,90,7
1250,6142,219,18
1251,11125,103,8
1252,9679,160,5
1253,3238,203,6
1254,12182,140,6
1255,9649,34,4
1256,10085,185,4
1257,9724,127,3
1258,14237,180,3
1259,7851,191,26
1260,12952,190,6
1261,6647,244,8
1262,5013,98,4
1263,948,241,3
1264,5268,145,25
1265,14578,104,1
1266,14582,128,15
1267,3113,2,7
1268,6661,64,2
1269,1053,247,6
1270,10932,183,7
1271,14701,120,9
1272,13925,55,8
1273,4487,33,6
1274,9587,145,2
1275,12818,103,8
1276,10616,2,22
1277,3195,100,1
1278,1430,105,5
1279,15045,256,1
1280,13966,92,1
1281,6153,13,17
1282,5979,172,3
1283,5654,239,5
1284,60,118,6
1285,4145,45,8
1286,4717,109,2
1287,3727,103,24
1288,1577,205,8
1289,3404,195,4
1290,13842,53,7
1291,7773,245,18
1292,6656,239,4
1293,10615,48,1
1294,3403,9,9
1295,6543,219,4
1296,11518,174,8
1297,4484,28,9
1298,14878,40,6
1299,4552,117,9
1300,5484,252,6
1301,11294,224,2
1302,15802,3,4
1303,9241,115,9
1304,14777,38,4
1305,2748,72,6
1306,13460,212,9
1307,7379,115,20
1308,14499,153,1
1309,14308,23,7
1310,5321,247,2
1311,854,160,3
1312,10125,235,8
1313,12718,71,2
1314,3686,145,3
1315,12367,123,3
1316,9380,140,5
1317,140,209,2
1318,13328,102,3
1319,10183,34,5
1320,12276,3,9
1321,6021,157,1
1322,13771,154,4
1323,14833,138,2
1324,14761,126,6
1325,2704,70,9
1326,3216,50,5
1327,7916,127,9
1328,5820,149,1
1329,2438,214,6
1330,10396,13,20
1331,14217,254,4
1332,12810,153,8
1333,10648,227,3
1334,15244,29,1
1335,13795,211,1
1336,9444,34,4
1337,719,217,21
1338,14209,256,3
1339,10671,102,3
1340,3047,160,2
1341,11292,99,7
1342,9541,74,4
1343,380,246,14
1344,12945,106,4
1345,10277,18,5
1346,8420,128,3
1347,15570,78,22
1348,645,255,6
1349,14871,45,26
1350,8377,112,8
1351,5837,9,3
1352,10167,235,8
1353,6723,249,1
1354,15055,77,5
1355,6477,182,7
1356,9494,221,17
1357,14679,169,4
1358,13447,243,2
1359,3006,35,6
1360,3104,55,3
1361,13682,226,4
1362,4372,48,3
1363,15742,15,8
1364,7729,75,7
1365,8607,210,1
1366,15131,25,2
1367,10522,87,8
1368,10392,47,16
1369,7840,159,3
1370,14884,28,2
1371,842,147,6
1372,6323,238,18
1373,2698,70,8
1374,3686,234,9
1375,14048,65,9
1376,11207,247,7
1377,3874,117,3
1378,12646,164,4
1379,5211,87,6
1380,8287,250,8
1381,1327,227,4
1382,6843,7,2
1383,4026,177,6
1384,9247,114,6
1385,13891,176,2
1386,439,13,21
1387,641,222,1
1388,8047,243,1
1389,15628,133,27
1390,852,146,6
1391,4561,234,7
1392,1750,190,4
1393,6516,149,2
1394,7137,17,16
1395,14089,117,5
1396,12984,61,2
1397,15614,186,6
1398,10330,8,7
1399,2638,249,7
1400,11104,183,20
1401,12021,138,3
1402,7608,19,3
1403,15021,80,5
1404,12441,143,4
1405,14614,163,17
1406,14090,177,1
1407,7893,64,6
1408,7523,13,2
1409,3548,61,1
1410,6354,70,7
1411,2069,124,4
1412,8289,73,9
1413,1834,175,1
1414,5514,146,7
1415,4032,196,6
1416,10653,167,2
1417,4240,77,6
1418,587,191,5
1419,6372,114,3
1420,11327,206,7
1421,14946,256,6
1422,8740,143,8
1423,11929,222,1
1424,232,201,8
1425,1184,24,2
1426,13957,63,5
1427,10821,124,5
1428,12520,125,5
1429,12836,73,5
1430,6726,64,2
1431,15138,175,9
1432,12207,55,2
1433,3186,79,8
1434,10769,79,8
1435,10937,228,13
1436,5831,208,3
1437,12882,232,5
1438,5893,122,6
1439,8171,12,12
1440,1319,217,9
1441,4640,232,7
1442,14956,15,2
1443,5035,94,8
1444,8949,101,7
1445,8163,254,19
1446,6089,32,6
1447,12284,237,1
1448,13386,195,5
1449,9098,161,23
1450,6322,165,8
1451,12841,170,2
1452,5437,30,8
1453,14216,97,26
1454,143,113,6
1455,7419,122,7
1456,7107,84,3
1457,13612,98,4
1458,1848,76,3
1459,3609,76,1
1460,10679,108,8
1461,11944,225,5
1462,1589,11,8
1463,7959,126,16
1464,9045,31,7
1465,7624,183,9
1466,6464,70,7
1467,1921,115,8
1468,3109,246,4
1469,6779,168,6
1470,15625,91,8
1471,2109,234,7
1472,2369,169,3
1473,11022,167,1
1474,14458,129,4
1475,2910,101,4
1476,2886,162,3
1477,11151,60,4
1478,5114,18,1
1479,5436,220,1
1480,3073,215,21
1481,1191,162,6
1482,10075,122,8
1483,2241,245,7
1484,5158,58,10
1485,2900,142,6
1486,10043,12,8
1487,1341,253,11
1488,7855,243,5
1489,864,48,4
1490,15549,188,6
1491,4974,18,7
1492,2136,212,2
1493,11032,107,6
1494,2838,11,5
1495,14862,132,7
1496,7333,139,9
1497,3614,131,5
1498,6777,13,2
1499,15541,36,6
1500,41,220,2
1501,12887,10,4
1502,9133,156,2
1503,14771,57,3
1504,329,53,3
1505,9585,72,6
