,CustomerID,OrderDate,SalesChannel,LocationID
65,1874,2024-12-07 18:12:41,In-Store,89
66,1480,2024-09-14 20:13:41,Catering,61
67,2189,2024-07-13 10:16:55,In-Store,17
68,1854,2024-09-23 06:06:21,In-Store,83
69,629,2024-02-18 19:05:57,In-Store,82
70,2168,2024-08-13 02:51:45,In-Store,84
71,2142,2024-03-23 00:08:33,Catering,41
72,675,2024-09-27 10:18:43,In-Store,76
73,1567,2024-04-30 21:32:08,In-Store,7
74,414,2024-01-26 14:09:37,In-Store,76
75,1684,2024-04-19 11:48:46,In-Store,66
76,2909,2024-10-06 16:51:32,Catering,88
77,1276,2024-01-21 19:13:24,Online,1
78,1143,2024-09-28 15:21:39,In-Store,48
79,463,2024-03-27 06:40:18,In-Store,59
80,2733,2024-08-19 04:26:29,Online,49
81,2137,2024-05-17 06:17:39,In-Store,50
82,154,2024-04-13 19:41:14,Online,36
83,1291,2025-01-02 22:29:57,Online,18
84,620,2024-07-31 00:38:17,Online,43
85,2064,2024-07-21 22:01:41,Catering,95
86,763,2024-03-25 18:49:48,Online,35
87,2115,2024-08-20 01:38:09,Online,82
88,1054,2024-09-26 08:23:32,Online,4
89,2821,2024-06-08 20:13:56,Catering,22
90,47,2024-06-05 05:15:32,Online,70
91,1568,2024-10-27 08:51:30,Catering,75
92,2718,2024-11-17 18:07:27,Catering,69
93,981,2024-04-07 23:55:23,Online,56
94,2420,2025-01-02 13:13:14,In-Store,18
95,2286,2024-11-03 12:55:53,In-Store,91
96,2825,2024-09-21 22:52:37,In-Store,68
97,1454,2024-07-08 10:16:19,Online,30
98,2424,2024-10-20 11:25:11,In-Store,45
99,1299,2024-06-12 09:04:46,Online,82
100,2213,2024-03-03 11:32:00,In-Store,19
101,2809,2024-04-10 11:37:57,In-Store,51
102,316,2024-10-19 15:59:52,Catering,57
103,957,2024-05-25 22:32:14,Online,32
104,1673,2024-12-23 03:24:39,Catering,60
105,2846,2024-12-26 14:07:57,Online,27
106,3103,2024-11-16 09:21:38,Online,84
107,1239,2024-11-04 16:08:38,Catering,63
108,315,2024-06-13 14:43:30,Online,55
109,2877,2024-11-28 14:58:14,In-Store,62
110,2026,2024-12-25 17:52:31,Online,80
111,226,2024-07-26 21:44:30,In-Store,16
112,652,2024-06-18 15:46:54,In-Store,12
113,2053,2024-09-02 00:11:15,In-Store,16
114,2882,2024-04-18 17:47:09,Catering,5
115,617,2024-05-29 13:38:46,Catering,73
116,1917,2024-06-19 19:04:54,Catering,88
117,501,2024-10-29 01:34:08,In-Store,17
118,1605,2024-05-13 06:07:48,In-Store,81
119,2704,2024-12-30 04:48:48,Online,12
120,2883,2024-11-10 00:45:04,Online,72
121,3071,2024-04-13 14:00:07,Online,3
122,1207,2025-01-07 16:47:45,In-Store,30
123,1477,2024-08-15 01:12:28,In-Store,11
124,2479,2024-02-17 20:12:49,Catering,89
125,844,2024-12-21 10:56:11,Online,40
126,1950,2024-07-26 00:11:33,Online,95
127,774,2024-01-27 10:04:54,Online,89
128,1106,2024-07-24 07:13:35,Online,73
129,346,2024-07-31 05:23:18,In-Store,74
130,2089,2024-02-09 23:31:31,In-Store,87
131,1404,2024-09-06 12:55:22,In-Store,56
132,2040,2024-09-13 12:40:54,Online,81
133,716,2024-03-11 23:29:41,In-Store,18
134,200,2024-10-27 06:02:06,Online,71
135,2934,2024-09-24 13:44:54,Catering,58
136,2616,2024-10-06 00:03:43,In-Store,95
137,198,2024-04-27 09:50:40,In-Store,25
138,2422,2024-06-22 12:21:16,In-Store,56
139,718,2024-08-07 00:34:26,Catering,94
140,1485,2024-09-29 06:51:16,In-Store,93
141,1407,2024-12-12 05:27:23,In-Store,70
142,2709,2024-07-12 21:01:39,In-Store,12
143,3135,2024-09-10 15:41:12,Online,42
144,2130,2024-11-21 05:23:25,Online,39
145,1526,2024-06-07 06:36:30,Online,42
146,1740,2024-07-22 15:58:06,In-Store,51
147,2430,2024-02-07 16:30:52,In-Store,68
148,1349,2024-12-29 20:21:17,In-Store,4
149,1562,2024-03-02 14:07:02,In-Store,10
150,1343,2025-01-03 04:14:40,Online,38
151,2238,2024-09-21 23:04:39,Online,24
152,133,2025-01-16 16:35:56,In-Store,20
153,1494,2024-11-20 14:02:06,In-Store,52
154,2333,2024-09-06 04:36:48,Online,88
155,1417,2024-01-19 19:41:50,Online,34
156,2781,2024-08-31 23:42:34,In-Store,56
157,427,2024-11-15 11:43:32,In-Store,71
158,2534,2024-05-28 21:26:50,In-Store,74
159,2524,2024-07-15 02:03:23,Online,40
160,2942,2024-11-23 16:57:06,In-Store,22
161,64,2024-09-29 16:31:36,Online,4
162,1696,2025-01-12 02:01:25,In-Store,80
163,2994,2024-01-30 15:05:49,In-Store,11
164,357,2024-10-08 04:40:19,Online,53
165,565,2024-08-04 20:47:13,Catering,58
166,2119,2024-02-13 14:20:40,In-Store,38
167,2802,2024-07-10 20:30:02,In-Store,77
168,2120,2024-07-11 17:16:15,Catering,16
169,1837,2024-05-21 23:25:39,Online,68
170,259,2024-09-27 08:07:13,Catering,45
171,1430,2024-08-03 23:28:17,Catering,30
172,1087,2024-12-22 23:22:12,Catering,56
173,2150,2024-06-10 12:57:05,In-Store,32
174,380,2024-03-28 13:48:50,In-Store,28
175,626,2024-12-28 05:17:56,Online,88
176,46,2024-10-29 06:07:42,Catering,20
177,2933,2024-02-28 02:07:31,In-Store,75
178,327,2024-12-23 04:27:03,Online,56
179,343,2024-05-17 15:47:01,Catering,96
180,1462,2024-12-27 12:53:49,Online,79
181,105,2024-10-17 20:19:19,In-Store,40
182,672,2024-01-23 22:37:54,In-Store,9
183,2906,2024-12-30 02:54:52,In-Store,4
184,2010,2024-03-09 03:22:13,In-Store,78
185,2740,2024-04-04 22:22:08,Catering,21
186,1125,2024-05-02 01:54:01,In-Store,65
187,1036,2024-05-18 01:47:42,Online,86
188,1901,2024-10-24 20:24:01,Catering,14
189,198,2024-05-28 21:07:06,Online,80
190,798,2024-08-18 02:07:10,Online,97
191,1408,2024-10-26 18:41:05,Online,4
192,1756,2024-12-16 19:03:24,In-Store,80
193,1564,2024-08-14 07:50:08,Catering,18
194,2882,2024-10-08 22:18:09,In-Store,72
195,2588,2024-12-20 15:15:02,Catering,52
196,2798,2024-07-06 16:54:09,In-Store,50
197,1755,2024-04-19 03:21:28,Online,41
198,483,2024-04-14 01:30:34,Catering,66
199,1195,2024-07-07 04:51:02,Online,90
200,2675,2024-05-11 13:30:17,In-Store,50
201,354,2024-06-17 07:20:42,Online,25
202,1197,2024-12-30 13:30:41,In-Store,48
203,1886,2024-09-03 09:33:33,In-Store,84
204,2857,2024-08-19 10:34:13,Online,83
205,1842,2024-04-20 10:22:10,Catering,29
206,293,2025-01-05 07:26:32,Online,94
207,2825,2024-10-27 05:18:20,In-Store,95
208,2564,2024-05-25 12:33:25,Online,91
209,152,2024-07-07 00:33:36,Online,78
210,152,2024-03-08 18:01:49,In-Store,27
211,1867,2024-10-24 06:50:28,Online,81
212,939,2024-11-04 22:12:27,Online,42
213,2471,2024-11-03 19:49:48,Online,66
214,1084,2024-07-26 18:23:20,Catering,94
215,935,2024-03-02 05:23:18,Catering,27
216,871,2024-12-16 12:53:32,Online,39
217,223,2024-07-28 18:04:25,Online,63
218,460,2024-11-24 11:54:00,Online,71
219,235,2024-12-06 09:55:11,Online,97
220,1727,2024-10-19 10:37:41,Catering,83
221,1866,2024-09-13 13:15:02,In-Store,52
222,472,2024-11-02 04:58:22,Online,94
223,374,2024-10-07 03:46:30,Online,13
224,2441,2024-08-08 10:35:05,In-Store,93
225,247,2024-11-19 23:48:07,Online,77
226,269,2024-06-27 19:44:51,Online,89
227,411,2024-05-14 13:23:54,Catering,9
228,207,2024-01-26 02:51:14,Online,2
229,505,2024-04-23 03:40:00,Online,23
230,2994,2025-01-11 03:50:01,In-Store,54
231,73,2024-07-05 08:15:46,In-Store,73
232,827,2024-08-27 02:57:00,In-Store,19
233,1682,2024-09-28 23:09:59,Online,22
234,820,2024-02-02 10:05:45,In-Store,98
235,194,2024-05-07 19:23:13,In-Store,74
236,875,2024-06-14 10:12:05,Catering,98
237,2638,2024-05-10 05:06:19,In-Store,35
238,2304,2024-10-28 00:03:29,Online,32
239,3130,2024-02-01 07:47:56,Online,35
240,1047,2024-08-26 17:05:26,In-Store,68
241,437,2024-09-15 08:06:35,In-Store,19
242,1831,2024-03-12 02:03:37,Online,53
243,1105,2024-07-03 19:19:53,In-Store,57
244,2246,2024-10-09 21:53:37,In-Store,74
245,643,2024-05-27 03:31:16,In-Store,77
246,591,2024-09-18 07:14:31,Online,90
247,1138,2025-01-08 06:32:04,Catering,23
248,1411,2024-07-09 07:05:41,In-Store,76
249,316,2024-05-30 08:43:56,In-Store,9
250,1809,2024-09-18 07:10:37,Catering,58
251,2019,2024-05-23 11:01:42,Online,23
252,2312,2024-10-10 20:22:28,In-Store,5
253,1770,2024-03-01 03:01:38,Online,91
254,3088,2024-07-11 20:50:40,Online,24
255,1401,2024-06-12 22:49:24,In-Store,30
256,2963,2024-05-29 09:10:54,Online,17
257,2738,2024-05-14 12:33:17,In-Store,44
258,724,2024-10-29 02:13:05,Online,71
259,2897,2024-05-20 19:04:50,Catering,5
260,3045,2024-10-22 19:36:54,Online,14
261,1874,2024-09-29 03:41:09,Online,29
262,2603,2024-03-13 19:29:17,Online,47
263,2591,2025-01-17 12:10:37,Online,47
264,2707,2024-07-05 02:23:08,Online,57
265,2967,2024-03-18 02:08:49,In-Store,54
266,2834,2024-12-14 17:44:45,Catering,74
267,1298,2024-01-29 18:37:01,In-Store,66
268,487,2024-06-05 06:35:10,Catering,43
269,2177,2024-01-31 19:02:03,Catering,34
270,209,2024-12-23 21:08:16,In-Store,15
271,1264,2024-04-11 08:20:10,Online,39
272,740,2024-12-12 12:08:00,Catering,21
273,1639,2024-10-09 19:52:48,Online,84
274,690,2024-07-08 06:08:44,Online,37
275,2169,2024-04-19 00:39:42,Catering,27
276,2348,2024-08-27 06:54:12,Online,32
277,1169,2024-11-13 17:01:05,Online,41
278,2218,2024-05-06 06:18:05,In-Store,57
279,1250,2024-05-15 10:40:20,Catering,40
280,1762,2024-04-06 23:28:44,In-Store,55
281,2286,2025-01-11 08:17:15,Online,10
282,2821,2024-03-08 10:50:42,In-Store,82
283,308,2024-06-17 07:41:59,In-Store,98
284,1418,2024-03-25 02:05:40,In-Store,55
285,2009,2024-10-03 21:59:50,In-Store,58
286,2475,2024-05-06 04:05:08,Online,13
287,1519,2024-05-01 06:12:03,In-Store,10
288,1536,2024-10-22 09:07:22,In-Store,31
289,1072,2024-11-15 10:32:30,Catering,27
290,2176,2024-10-22 11:51:37,Catering,30
291,3115,2024-10-14 00:39:49,Online,94
292,3032,2024-02-20 14:28:14,In-Store,57
293,1791,2024-05-15 12:03:31,Online,77
294,2513,2024-09-23 10:05:48,In-Store,77
295,1411,2024-12-27 00:06:58,Online,96
296,900,2024-07-20 07:10:52,Online,8
297,699,2024-06-11 05:24:03,In-Store,67
298,345,2024-01-27 12:17:33,In-Store,78
299,120,2024-06-14 23:35:32,Online,39
300,1019,2024-10-21 14:32:41,Catering,19
301,2673,2024-02-20 05:17:14,In-Store,85
302,580,2024-07-29 12:42:17,In-Store,83
303,1369,2024-11-14 19:02:47,In-Store,80
304,2928,2024-02-15 07:37:46,In-Store,62
305,680,2024-04-03 19:30:36,Online,61
306,689,2024-05-26 19:13:36,Catering,16
307,2086,2024-02-13 05:07:49,In-Store,63
308,1738,2024-04-09 00:18:42,In-Store,35
309,392,2024-12-06 22:21:39,Catering,33
310,1857,2024-11-29 22:38:37,In-Store,50
311,733,2024-04-07 06:28:13,Catering,70
312,2986,2024-12-16 00:30:12,In-Store,70
313,1650,2024-10-03 21:04:25,Online,86
314,2552,2024-08-12 05:34:26,Catering,62
315,1526,2024-03-31 08:50:02,In-Store,5
316,2798,2024-07-02 11:13:57,Online,79
317,1074,2024-04-21 10:34:18,Online,97
318,22,2024-11-21 12:50:25,Online,92
319,826,2024-12-10 16:23:52,In-Store,62
320,1911,2024-08-06 14:41:19,In-Store,93
321,3129,2024-05-29 06:04:58,In-Store,38
322,2731,2024-02-22 15:00:35,Catering,31
323,1792,2024-09-29 05:05:13,In-Store,66
324,1467,2024-10-08 21:21:02,In-Store,22
325,1415,2024-06-05 00:41:27,In-Store,66
326,2979,2024-07-28 23:20:47,Online,23
327,2543,2024-08-19 19:36:41,Online,64
328,2527,2024-06-23 09:19:59,In-Store,82
329,314,2024-05-17 21:04:05,Online,21
330,1588,2024-11-23 03:35:19,Catering,94
331,1103,2024-06-06 15:16:53,Online,10
332,535,2024-11-26 10:11:03,Online,48
333,2961,2024-11-07 15:51:05,In-Store,27
334,1662,2024-04-04 23:55:22,Catering,8
335,1504,2024-05-06 02:26:18,Online,83
336,1637,2024-01-27 12:38:13,Catering,90
337,2356,2024-04-09 07:43:05,In-Store,67
338,718,2024-01-30 14:25:18,Online,95
339,1289,2024-03-23 22:24:40,In-Store,9
340,478,2024-04-12 16:39:56,In-Store,10
341,1710,2024-02-18 00:47:03,In-Store,17
342,1266,2024-12-11 17:57:08,Online,62
343,2258,2024-08-31 22:43:16,In-Store,83
344,1930,2024-07-23 05:11:29,Online,50
345,1092,2024-08-26 18:33:57,Catering,77
346,1937,2024-03-29 17:07:19,Online,93
347,2436,2024-10-19 17:26:49,Online,36
348,1287,2024-05-02 20:23:59,Catering,84
349,1475,2024-07-27 14:47:45,In-Store,25
350,2481,2024-07-18 10:01:37,In-Store,68
351,1714,2024-12-22 04:45:09,Online,1
352,991,2024-07-20 21:02:30,In-Store,74
353,2135,2024-10-12 03:44:12,In-Store,30
354,1571,2024-12-06 13:16:00,Online,3
355,926,2024-08-05 00:09:06,Online,62
356,1655,2024-08-24 16:26:31,Catering,60
357,381,2024-02-09 11:13:30,In-Store,1
358,2530,2024-06-10 02:52:42,Online,31
359,451,2024-07-31 14:33:20,In-Store,58
360,486,2025-01-08 14:35:42,In-Store,12
361,1617,2024-12-29 16:57:21,Online,7
362,2494,2024-05-25 10:53:40,Online,69
363,634,2024-02-18 11:40:18,In-Store,7
364,2484,2024-05-24 05:03:33,Online,27
365,156,2024-08-04 19:17:44,Online,21
366,2439,2024-09-30 01:40:46,Catering,65
367,2624,2025-01-02 11:50:42,In-Store,73
368,1711,2024-09-24 03:25:08,In-Store,94
369,1414,2024-12-12 19:12:23,Online,97
370,1924,2024-08-05 02:00:13,In-Store,81
371,2037,2024-03-21 00:39:51,Online,24
372,414,2024-02-27 21:00:00,Online,15
373,1935,2024-06-20 21:02:45,In-Store,38
374,757,2024-10-31 02:27:57,In-Store,72
375,1036,2024-07-11 10:33:02,Catering,60
376,54,2024-03-28 15:45:15,In-Store,15
377,1751,2024-10-20 08:51:08,Online,98
378,2941,2024-12-13 14:34:24,Catering,51
379,2439,2024-10-06 10:30:51,Online,17
380,1022,2024-08-04 05:22:00,Online,29
381,2026,2024-04-17 10:47:39,Online,13
382,165,2024-07-26 10:36:11,Catering,4
383,2068,2024-04-07 20:33:30,In-Store,69
384,2391,2024-02-01 14:30:45,In-Store,32
385,2987,2024-12-13 17:44:05,In-Store,22
386,671,2024-02-20 21:33:13,In-Store,78
387,916,2024-12-17 15:36:58,Catering,56
388,1606,2024-01-22 01:55:42,Online,15
389,2517,2024-03-08 18:11:54,In-Store,29
390,412,2024-04-18 07:24:11,In-Store,2
391,1392,2024-03-02 18:50:44,In-Store,8
392,2772,2024-03-18 04:18:03,In-Store,99
393,315,2024-10-20 17:31:48,Online,1
394,2828,2024-06-13 09:46:57,Online,46
395,2450,2024-05-24 11:16:28,In-Store,26
396,2754,2024-11-19 04:23:45,In-Store,96
397,283,2024-12-03 19:33:17,Catering,30
398,2737,2024-09-01 18:35:07,Online,91
399,103,2024-06-18 01:28:43,Online,74
400,1737,2024-12-14 06:16:05,In-Store,70
401,1372,2024-05-10 16:10:10,In-Store,83
402,1662,2024-06-28 10:14:18,Online,90
403,2567,2025-01-05 23:16:24,Catering,57
404,1715,2024-08-05 13:00:25,Online,48
405,2825,2024-09-26 18:04:28,Catering,28
406,2447,2024-05-07 13:21:43,Catering,58
407,1101,2024-11-29 16:00:23,Catering,72
408,1665,2024-06-08 11:15:15,Online,51
409,353,2024-05-10 07:23:02,In-Store,33
410,2570,2024-08-29 10:16:50,In-Store,11
411,2475,2024-02-09 23:29:59,Online,58
412,1627,2024-08-02 22:19:16,Online,85
413,2624,2024-07-22 17:59:22,In-Store,38
414,2119,2024-12-27 04:17:52,Online,94
415,3062,2024-05-29 11:30:59,Online,88
416,1303,2024-09-10 12:24:45,Catering,58
417,1753,2024-02-12 11:30:50,Online,78
418,1819,2024-12-22 20:52:41,Online,95
419,1411,2024-08-13 16:58:32,Online,54
420,2224,2024-09-20 17:31:38,In-Store,48
421,1815,2024-06-04 12:27:04,In-Store,24
422,297,2025-01-03 20:06:12,Online,85
423,1512,2024-03-01 15:58:19,Online,16
424,23,2024-02-09 22:54:35,Catering,39
425,1058,2024-06-12 18:18:48,Online,38
426,937,2024-12-05 11:35:02,In-Store,69
427,2918,2024-11-20 00:27:11,Online,54
428,2899,2024-05-06 20:26:25,Online,37
429,966,2024-08-26 08:59:31,In-Store,32
430,2700,2024-03-25 01:56:16,In-Store,37
431,1751,2024-10-17 08:15:23,Online,95
432,1115,2024-07-01 11:09:29,In-Store,36
433,201,2024-07-01 03:12:11,Online,12
434,847,2025-01-07 10:38:25,Catering,42
435,2019,2024-06-06 07:22:18,Online,6
436,3097,2025-01-09 15:08:11,In-Store,49
437,299,2024-09-30 09:55:39,Online,31
438,1408,2024-11-11 17:04:10,Online,56
439,2696,2024-04-11 15:40:51,In-Store,69
440,1866,2024-10-06 13:52:03,Online,91
441,1141,2024-02-21 14:22:57,In-Store,71
442,2021,2024-03-09 18:31:32,In-Store,81
443,1683,2024-04-25 22:17:59,In-Store,96
444,871,2024-10-20 03:17:51,In-Store,2
445,1398,2024-04-15 06:04:41,Online,32
446,2123,2024-05-13 20:46:43,Catering,96
447,454,2024-08-19 19:23:20,Online,18
448,686,2024-10-17 06:41:00,In-Store,79
449,991,2024-03-01 02:38:37,In-Store,91
450,2982,2024-10-27 03:50:01,Online,13
451,769,2024-12-17 09:29:31,In-Store,82
452,2180,2024-06-21 04:17:14,In-Store,77
453,1437,2024-03-13 21:12:14,In-Store,78
454,1714,2024-02-17 16:28:21,In-Store,18
455,470,2024-01-31 21:26:55,Online,16
456,957,2024-03-10 07:07:49,In-Store,30
457,1572,2024-02-24 05:57:08,In-Store,59
458,1391,2024-09-13 23:32:04,Online,9
459,545,2024-05-19 04:01:54,In-Store,46
460,2615,2024-03-21 00:35:11,Online,66
461,2034,2024-04-14 03:28:54,Catering,79
462,2405,2024-07-28 07:28:46,Online,18
463,2436,2024-03-28 06:46:58,In-Store,87
464,188,2024-04-22 07:13:12,In-Store,47
465,3002,2024-04-20 08:01:59,Catering,93
466,971,2024-04-25 16:24:42,Online,71
467,1299,2024-11-15 16:14:42,Catering,95
468,2250,2024-08-25 01:03:38,Online,48
469,328,2024-04-21 05:28:03,Online,93
470,289,2024-09-02 04:06:48,Online,79
471,204,2024-02-21 04:18:02,Online,52
472,2538,2024-04-14 13:26:58,Online,94
473,1319,2024-11-04 22:58:58,In-Store,81
474,2941,2024-04-26 20:24:29,In-Store,60
475,275,2024-03-06 10:50:59,Catering,48
476,1582,2024-11-17 10:51:00,In-Store,68
477,348,2024-02-21 18:01:07,In-Store,61
478,819,2024-06-29 13:13:59,Online,2
479,1883,2024-10-11 06:33:05,Catering,66
480,960,2024-12-20 21:31:09,In-Store,4
481,725,2024-09-15 15:58:39,In-Store,78
482,140,2024-05-16 13:51:22,Catering,79
483,951,2025-01-14 08:45:15,Online,17
484,543,2024-11-25 08:11:57,Catering,33
485,171,2024-10-12 23:31:31,In-Store,89
486,1344,2024-09-15 07:08:28,In-Store,62
487,2543,2024-08-17 07:57:26,Online,74
488,2830,2024-07-29 14:58:59,Online,39
489,2218,2024-05-04 12:43:37,In-Store,47
490,1989,2025-01-16 15:22:02,In-Store,11
491,902,2024-05-23 10:05:43,Catering,8
492,1582,2024-07-09 01:50:26,Online,44
493,349,2025-01-10 16:53:40,Catering,53
494,386,2024-09-23 16:16:28,In-Store,42
495,2517,2024-05-16 05:00:05,In-Store,18
496,2757,2024-02-17 05:20:20,Online,60
497,2961,2024-10-08 17:31:27,Online,63
498,1327,2024-09-13 19:56:33,In-Store,24
499,2027,2024-04-25 18:08:52,Catering,13
500,2,2024-02-25 21:49:21,Catering,69
501,1150,2024-08-15 21:30:50,Online,36
502,2685,2024-06-27 08:07:36,Online,84
503,2991,2024-05-20 05:52:10,Online,80
504,1600,2024-07-05 20:28:02,Catering,13
505,2987,2024-05-04 09:03:29,Online,85
506,95,2024-08-28 07:25:33,In-Store,32
507,1001,2024-03-04 05:52:22,In-Store,7
508,280,2024-03-20 18:20:04,Catering,40
509,2099,2024-12-18 13:59:56,In-Store,96
510,791,2024-02-26 09:59:09,Online,37
511,864,2024-07-24 19:24:18,In-Store,87
512,2229,2024-04-14 07:54:30,In-Store,59
513,2817,2024-12-19 05:25:22,In-Store,79
514,1851,2024-08-31 16:35:40,In-Store,96
515,1626,2024-02-14 03:22:14,In-Store,31
516,264,2024-02-01 10:38:12,Online,94
517,1985,2024-05-13 17:10:42,Online,50
518,3114,2024-10-28 10:44:45,Online,74
519,1474,2024-03-15 00:28:35,Catering,86
520,774,2024-08-18 21:07:29,In-Store,6
521,590,2024-02-23 08:28:28,Online,21
522,2188,2025-01-01 07:28:45,Catering,31
523,518,2025-01-11 00:52:05,Catering,41
524,22,2024-02-20 02:46:27,In-Store,57
525,2825,2025-01-05 00:12:25,Online,63
526,2306,2024-09-07 13:30:25,Online,38
527,1593,2024-08-22 04:56:56,In-Store,74
528,1360,2024-02-08 12:03:14,In-Store,62
529,2108,2024-12-07 17:04:03,Online,29
530,1591,2024-09-13 17:07:23,Catering,90
531,1982,2024-12-09 09:07:34,Online,49
532,91,2024-04-19 19:41:09,Online,91
533,386,2024-02-21 21:59:22,Online,40
534,1927,2024-05-26 17:05:59,Online,92
535,2110,2024-04-20 23:52:49,Catering,69
536,1293,2025-01-08 09:57:42,Online,81
537,2149,2024-08-13 21:18:17,Online,93
538,667,2024-05-20 06:17:21,Catering,86
539,867,2024-06-15 02:27:09,Online,43
540,107,2024-11-13 22:18:54,In-Store,2
541,56,2024-03-19 15:04:00,In-Store,25
542,2420,2024-06-22 05:45:33,Online,50
543,1987,2024-01-31 16:49:37,In-Store,1
544,2816,2024-09-13 06:15:15,In-Store,28
545,2665,2024-09-25 13:27:30,In-Store,98
546,250,2024-03-03 01:41:49,Online,77
547,76,2024-04-16 12:06:05,Online,9
548,1187,2024-11-14 12:41:00,Online,22
549,2744,2024-10-24 19:01:24,In-Store,99
550,2629,2024-06-11 22:41:09,Catering,52
551,3050,2024-12-17 13:07:52,Catering,70
552,2967,2024-11-26 02:10:01,Online,62
553,1844,2024-07-09 18:15:34,In-Store,7
554,787,2024-06-21 07:59:49,In-Store,15
555,986,2024-11-07 00:00:30,In-Store,35
556,2539,2024-04-26 00:40:52,In-Store,56
557,446,2024-06-04 16:43:10,Online,29
558,2403,2024-06-10 07:12:08,Online,77
559,2800,2024-08-01 00:51:00,In-Store,36
560,827,2024-03-08 08:49:46,In-Store,30
561,2802,2024-07-30 12:18:48,In-Store,17
562,1304,2024-06-11 18:31:16,Catering,86
563,179,2024-11-14 02:13:53,Online,90
564,1007,2024-10-01 03:08:03,Online,69
565,1488,2024-11-10 22:34:53,In-Store,63
566,362,2024-07-13 11:07:43,Online,94
567,737,2024-05-22 15:09:33,In-Store,56
568,849,2024-07-06 16:31:45,Online,41
569,2965,2024-04-14 23:42:06,Online,15
570,2661,2024-12-27 14:18:25,Online,30
571,1694,2024-05-16 23:08:38,Online,37
572,2682,2024-05-27 00:54:22,Online,51
573,1908,2024-09-10 12:17:03,Online,18
574,474,2024-03-22 01:13:41,In-Store,68
575,2545,2024-11-30 08:05:50,In-Store,85
576,862,2024-09-12 02:33:25,Online,38
577,1032,2024-09-28 03:49:05,In-Store,26
578,535,2024-09-08 22:52:12,Online,66
579,999,2024-10-20 16:22:04,In-Store,50
580,1005,2024-01-30 21:49:28,Online,88
581,218,2024-04-17 00:43:11,In-Store,53
582,2979,2024-03-09 22:36:52,Online,15
583,2204,2024-02-22 15:52:45,Online,89
584,311,2025-01-04 19:42:50,Online,48
585,181,2024-02-03 01:26:58,In-Store,36
586,1967,2024-08-16 10:29:50,In-Store,1
587,807,2024-08-12 00:27:10,In-Store,45
588,1162,2024-03-08 11:57:41,Online,17
